Timestamp,AccX,AccY,AccZ
759915256,3290,1002,16548
759917164,2903,2419,14387
759919076,1764,2673,19444
759920984,1719,2051,13523
759922880,-699,987,15363
759924768,-22,1640,11687
759926676,-2121,-1213,20451
759928592,-713,-1543,17240
759930516,-2763,-1709,18011
759932424,-11,-2117,19265
759934328,-827,-2133,18844
759936248,434,-2171,15155
759938152,-1169,-811,17619
759940064,1881,2129,14135
759941972,4138,2642,15195
759943880,1359,1925,14762
759945780,-1226,496,15340
759947680,-1911,-811,16252
759949592,-656,-2002,19728
759951508,-969,-1495,12780
759953420,-312,-1693,17996
759955340,-1341,-1286,20524
759957240,917,-313,15468
759959120,564,160,13439
759961016,3634,356,16300
759962924,2523,2511,14555
759964832,-299,2429,18967
759966732,349,1921,17704
759968628,1227,1213,12581
759970528,-1776,-992,16291
759972452,-1574,-2525,17599
759974380,-3665,-3157,19507
759976308,1217,-1231,20320
759978220,3744,450,15370
759980096,351,189,17511
759981988,1317,-995,16133
759983888,1086,-316,13699
759985788,1011,885,17459
759987684,1523,2221,9800
759989588,3145,1665,16324
759991504,-2581,-1343,16244
759993424,-609,-3149,17091
759995344,-2742,-3822,17504
759997264,-2776,-836,18521
759999164,-642,354,16968
760001064,2097,790,16709
760002956,2361,819,17447
760004856,2649,307,14671
760006728,173,-41,15571
760008632,1761,2003,14664
760010532,-293,2422,17360
760012420,-34,1802,15676
760014320,-598,-1274,17384
760016236,-747,-2675,14755
760018164,-1470,-3447,19959
760020068,50,-1548,18020
760021960,1550,582,14566
760023868,4269,1403,15976
760025780,3342,1518,15416
760027680,-1416,-174,17283
760029584,-205,-689,15795
760031476,-479,377,15884
760033388,2042,1632,14859
760035280,-1926,108,16804
760037192,-1639,-1986,18660
760039120,-4638,-4442,17975
760041028,656,-3204,15524
760042908,-41,-677,18299
760044820,3345,2209,16635
760046732,1782,2434,19768
760048636,4736,1188,14198
760050540,2192,-322,16372
760052440,1020,-636,11823
760054340,-3832,937,16275
760056248,-1786,1465,17912
760058144,752,294,18477
760060056,-1095,-1795,13743
760061976,-560,-2482,13979
760063892,-2515,-1176,19836
760065812,-1057,403,18802
760067728,2222,2166,15391
760069640,5684,3406,13790
760071540,1828,994,14148
760073444,-2288,-619,16515
760075368,-1896,-1544,17718
760077264,635,-873,12556
760079164,-1569,-543,14591
760081076,134,-1784,15727
760082988,-4052,-2343,22779
760084908,-1060,-2332,14920
760086836,-2261,-1169,16683
760088756,3696,776,15331
760090664,2194,1860,19616
760092572,4472,2038,15527
760094460,558,918,14803
760096360,1159,-911,14662
760098264,-558,-1546,15532
760100160,-995,-347,12868
760102056,-2401,-15,17244
760103944,298,-632,15667
760105832,1560,-634,18616
760107748,-1243,-1263,14323
760109664,1952,-215,17415
760111564,-316,1650,17484
760113476,2301,2625,20308
760115392,4037,3451,14303
760117292,3968,446,16276
760119192,-2309,-2178,18980
760121128,-2130,-2412,14919
760123056,-3323,-3159,18959
760124972,540,-1366,13705
760126884,-2249,-1813,21023
760128800,-1118,-396,22828
760130708,-856,-666,16136
760132600,3900,-200,15715
760134500,2198,774,15636
760136408,3737,1304,19388
760138316,1590,1930,17044
760140212,1147,597,12559
760142124,1111,-2495,10740
760144040,-828,-2488,14502
760145960,-3042,-1370,17468
760147856,-2681,29,15442
760149764,2317,1483,16124
760151660,-221,1613,14438
760153564,369,1432,17740
760155472,-2697,1041,17875
760157400,3033,1013,13451
760159312,1375,2483,14559
760161224,2846,1195,16636
760163124,1705,-301,18828
760165040,-2379,-2517,12843
760166968,-5824,-4142,16975
760168896,-1904,-1984,14123
760170820,-1559,-1231,20320
760172732,366,400,17316
760174628,-284,1048,20248
760176532,1731,1513,18771
760178436,3184,844,15796
760180328,4261,578,12781
760182228,1359,227,16172
760184112,406,-190,14491
760186012,639,-1069,15427
760187928,-1322,-2537,13163
760189836,567,-1966,16651
760191744,-4913,-237,18035
760193652,-2296,488,15728
760195552,145,2257,15487
760197456,2314,2331,14477
