Timestamp,AccX,AccY,AccZ,AccMagnitude,Z_score,Anomaly
759915256,3290,1002,16548,16901.609627488146,0.20856463479512613,0
759917164,2903,2419,14387,14874.970218457582,-0.6653648503538697,0
759919076,1764,2673,19444,19705.982873229135,1.4178692875593715,0
759920984,1719,2051,13523,13785.249036560783,-1.1352755148793232,0
759922880,-699,987,15363,15410.533378180004,-0.43441876573940286,0
759924768,-22,1640,11687,11801.527570615594,-1.990697881427385,0
759926676,-2121,-1213,20451,20596.441707246424,1.801853841936192,0
759928592,-713,-1543,17240,17323.591371306356,0.3905320269587524,0
759930516,-2763,-1709,18011,18301.66579850042,0.8122982655833051,0
759932424,-11,-2117,19265,19380.970950909556,1.2777173193925706,0
759934328,-827,-2133,18844,18982.35902094363,1.1058274818728289,0
759936248,434,-2171,15155,15315.861777908549,-0.4752431484661952,0
759938152,-1169,-811,17619,17676.352649797413,0.5426501004149766,0
759940064,1881,2129,14135,14417.663715040659,-0.8625650208951166,0
759941972,4138,2642,15195,15968.444914893873,-0.19383559151194282,0
759943880,1359,1925,14762,14948.884573773388,-0.6334914276826102,0
759945780,-1226,496,15340,15396.905273463235,-0.4402954907678475,0
759947680,-1911,-811,16252,16384.051574625857,-0.014617269522533033,0
759949592,-656,-2002,19728,19840.1694549215,1.4757333603341165,0
759951508,-969,-1495,12780,12903.580355854727,-1.5154695705006986,0
759953420,-312,-1693,17996,18078.152809399526,0.7159147695264039,0
759955340,-1341,-1286,20524,20607.926945716787,1.8068065180257282,0
759957240,917,-313,15468,15498.318683005586,-0.39656389826371,0
759959120,564,160,13439,13451.78118317422,-1.2790738581491123,0
759961016,3634,356,16300,16703.972341931127,0.12333928565632145,0
759962924,2523,2511,14555,14983.947243633767,-0.618371667905666,0
759964832,-299,2429,18967,19124.23935742282,1.1670092633281377,0
759966732,349,1921,17704,17811.33509875102,0.6008573678709102,0
759968628,1227,1213,12581,12698.758167631982,-1.6037932005964037,0
759970528,-1776,-992,16291,16417.518722389203,-0.00018553238967198614,0
759972452,-1574,-2525,17599,17848.7507125849,0.6169917665156192,0
759974380,-3665,-3157,19507,20097.808910426033,1.5868329055713468,0
759976308,1217,-1231,20320,20393.598260238432,1.7143834866181047,0
759978220,3744,450,15370,15825.831289382559,-0.25533358260151356,0
759980096,351,189,17511,17515.537188450715,0.4733030953619439,0
759981988,1317,-995,16133,16217.21933624874,-0.08655883522065172,0
759983888,1086,-316,13699,13745.612136241878,-1.1523677789171436,0
759985788,1011,885,17459,17510.626116732663,0.4711853380742082,0
759987684,1523,2221,9800,10163.285394005228,-2.6971423212102468,0
759989588,3145,1665,16324,16707.37040949293,0.12480460376942844,0
759991504,-2581,-1343,16244,16502.5072640493,0.03646331205972276,0
759993424,-609,-3149,17091,17389.346249931306,0.4188869118813867,0
759995344,-2742,-3822,17504,18125.017627577636,0.7361238635761383,0
759997264,-2776,-836,18521,18746.53335953077,1.0041345028726594,0
759999164,-642,354,16968,16983.830663310324,0.24402007259245248,0
760001064,2097,790,16709,16858.593950860788,0.19001537143787964,0
760002956,2361,819,17447,17625.06428357071,0.5205334795247933,0
760004856,2649,307,14671,14911.394669848962,-0.6496578617749146,0
760006728,173,-41,15571,15572.014994855354,-0.3647845005152691,0
760008632,1761,2003,14664,14904.563931896833,-0.6526034194676601,0
760010532,-293,2422,17360,17530.588495541157,0.4797935351499777,0
760012420,-34,1802,15676,15779.269184597872,-0.27541214027714866,0
760014320,-598,-1274,17384,17440.87543674342,0.44110737966672287,0
760016236,-747,-2675,14755,15014.1153252531,-0.6053625573949175,0
760018164,-1470,-3447,19959,20307.742119694154,1.677360515304904,0
760020068,50,-1548,18020,18086.437017831897,0.719487094222109,0
760021960,1550,582,14566,14659.794677961898,-0.7581530634341641,0
760023868,4269,1403,15976,16595.943661027533,0.07675504917956068,0
760025780,3342,1518,15416,15846.966397389753,-0.24621968006069045,0
760027680,-1416,-174,17283,17341.78252083678,0.39837643276303686,0
760029584,-205,-689,15795,15811.349436401688,-0.2615784618154384,0
760031476,-479,377,15884,15895.69205791305,-0.22520815170250158,0
760033388,2042,1632,14859,15087.182275030682,-0.5738545537925034,0
760035280,-1926,108,16804,16914.359461711814,0.2140626311378281,0
760037192,-1639,-1986,18660,18836.828740528486,1.0430717679209163,0
760039120,-4638,-4442,17975,19087.771818627756,1.1512836945556122,0
760041028,656,-3204,15524,15864.757420143555,-0.23854781732762484,0
760042908,-41,-677,18299,18311.564952237153,0.8165669886181008,0
760044820,3345,2209,16635,17111.163928850663,0.2989288514803749,0
760046732,1782,2434,19768,19996.842350731276,1.5432940041081054,0
760048636,4736,1188,14198,15014.134806907789,-0.6053541564961806,0
760050540,2192,-322,16372,16521.22670990263,0.04453553033593691,0
760052440,1020,-636,11823,11883.948207561323,-1.955156371432724,0
760054340,-3832,937,16275,16746.277735664127,0.14158226010918284,0
760056248,-1786,1465,17912,18060.33679087962,0.7082321280939285,0
760058144,752,294,18477,18494.63351894273,0.8955100001548693,0
760060056,-1095,-1795,13743,13902.9169241566,-1.0845346499938564,0
760061976,-560,-2482,13979,14208.672175822763,-0.9526865627221152,0
760063892,-2515,-1176,19836,20029.35588080655,1.5573145212619943,0
760065812,-1057,403,18802,18835.9990974729,1.042714008407707,0
760067728,2222,2166,15391,15700.691736353529,-0.30929638657301495,0
760069640,5684,3406,13790,15299.437636723776,-0.48232558315371993,0
760071540,1828,994,14148,14300.193145548768,-0.9132207980692685,0
760073444,-2288,-619,16515,16684.223985549943,0.114823379547004,0
760075368,-1896,-1544,17718,17885.923962714365,0.6330216528398458,0
760077264,635,-873,12556,12602.320818008086,-1.6453790115356377,0
760079164,-1569,-543,14591,14685.158868735469,-0.7472154915675581,0
760081076,134,-1784,15727,15828.428254251905,-0.25421371679751076,0
760082988,-4052,-2343,22779,23254.917630471195,2.9482445044843844,0
760084908,-1060,-2332,14920,15138.303207427178,-0.5518101338870517,0
760086836,-2261,-1169,16683,16876.05318194986,0.19754415863543523,0
760088756,3696,776,15331,15789.305019537751,-0.2710844774364046,0
760090664,2194,1860,19616,19825.75829571217,1.4695189657594876,0
760092572,4472,2038,15527,16286.189149091939,-0.056817603129585316,0
760094460,558,918,14803,14841.930366364073,-0.6796123286180424,0
760096360,1159,-911,14662,14735.923656154031,-0.7253246488578409,0
760098264,-558,-1546,15532,15618.722867123292,-0.3446430848388366,0
760100160,-995,-347,12868,12911.075013336418,-1.512237716760385,0
760102056,-2401,-15,17244,17410.357894081328,0.42794757421349133,0
760103944,298,-632,15667,15682.57367271074,-0.31710927620729545,0
760105832,1560,-634,18616,18692.003958912486,0.980620279871037,0
760107748,-1243,-1263,14323,14432.205202255129,-0.8562944261469756,0
760109664,1952,-215,17415,17525.37457516957,0.4775451831611417,0
760111564,-316,1650,17484,17564.52709297919,0.49442857128592677,0
760113476,2301,2625,20308,20605.82660317222,1.805900806200314,0
760115392,4037,3451,14303,15257.213998630288,-0.500533302857449,0
760117292,3968,446,16276,16758.64302382505,0.1469144321117809,0
760119192,-2309,-2178,18980,19243.585035018812,1.218473626505658,0
760121128,-2130,-2412,14919,15262.083900961887,-0.498433298673964,0
760123056,-3323,-3159,18959,19505.519500900253,1.33142527043922,0
760124972,540,-1366,13705,13783.489434827452,-1.1360342921092659,0
760126884,-2249,-1813,21023,21220.544267289657,2.0709799758445686,0
760128800,-1118,-396,22828,22858.790956653855,2.777426361621679,0
760130708,-856,-666,16136,16172.408231305566,-0.10588232498278866,0
760132600,3900,-200,15715,16192.937503739091,-0.09702967146762977,0
760134500,2198,774,15636,15808.693051609294,-0.26272395073844546,0
760136408,3737,1304,19388,19787.878334980738,1.4531843309783945,0
760138316,1590,1930,17044,17226.460344481682,0.34864708783902726,0
